ingredient,risk,function,side_effects
dibutyldecyl ipdi,Safe,General,No known major side effects
dibutyldihydrofuranone,Safe,General,No known major side effects
dibutylene tetrafurfural,Safe,General,No known major side effects
dibutyl ethanolamine,Safe,General,No known major side effects
dibutylhexyl ipdi,Safe,General,No known major side effects
dibutyl maleate,Safe,General,No known major side effects
dibutyloctyl ipdi,Safe,General,No known major side effects
dibutyloctyl malate,Safe,General,No known major side effects
dibutyloctyl sebacate,Safe,General,No known major side effects
dibutyl oxalate,Safe,General,No known major side effects
dibutyl phthalate,Safe,General,No known major side effects
dibutyl sebacate,Safe,General,No known major side effects
dibutyl sulphide,Safe,General,No known major side effects
di-c12-15 alkyl adipate,Safe,General,No known major side effects
di-c12-15 alkyl dimonium chloride,Safe,General,No known major side effects
di-c12-15 alkyl maleate,Safe,General,No known major side effects
di-c12-15 pareth-10 phosphate,Safe,General,No known major side effects
di-c12-15 pareth-2 phosphate,Safe,General,No known major side effects
di-c12-15 pareth-4 phosphate,Safe,General,No known major side effects
di-c12-15 pareth-6 phosphate,Safe,General,No known major side effects
di-c12-20 alkyl dimonium cellulose sulfate,Safe,General,No known major side effects
di-c14-15 alkyl tartrate,Safe,General,No known major side effects
di-c14-18 alkyl dimonium chloride,Safe,General,No known major side effects
di-c16-18 alkyl dimer dilinoleate,Safe,General,No known major side effects
dicaffeoyl lysyl hexapeptide-65,Safe,General,No known major side effects
dicaprolactone ethoxyacrylate hema ipdi,Safe,General,No known major side effects
dicapryl/dicaprylyl dimonium chloride,Safe,General,No known major side effects
dicapryl adipate,Safe,General,No known major side effects
dicapryloyl cystine,Safe,General,No known major side effects
dicapryl sodium sulfosuccinate,Safe,General,No known major side effects
dicapryl succinate,Safe,General,No known major side effects
dicaprylyl/capryl sebacate,Safe,General,No known major side effects
dicentra formosa flower extract,Safe,Natural/conditioning,Generally safe
dicentra spectabilis callus culture extract,Safe,Natural/conditioning,Generally safe
dicentra spectabilis flower extract,Safe,Natural/conditioning,Generally safe
diceteareth-10 phosphate,Safe,General,No known major side effects
dicetearyl dimer dilinoleate,Safe,General,No known major side effects
dicetearyl succinate,Safe,General,No known major side effects
dicetyl adipate,Safe,General,No known major side effects
dicetyl ether,Safe,General,No known major side effects
dicetyl thiodipropionate,Safe,General,No known major side effects
dichloro-m-xylenol,Safe,General,No known major side effects
dichlorophene,Safe,General,No known major side effects
dichlorophenyl imidazoldioxolan,Safe,General,No known major side effects
dicocamine,Safe,General,No known major side effects
dicocodimethylamine dilinoleate,Safe,General,No known major side effects
dicranopteris pedata extract,Safe,Natural/conditioning,Generally safe
dicrateria rotunda oil,Safe,Natural/conditioning,Generally safe
dictamnus albus root extract,Safe,Natural/conditioning,Generally safe
dictamnus dasycarpus root extract,Safe,Natural/conditioning,Generally safe
dictyophora indusiata extract,Safe,Natural/conditioning,Generally safe
dictyophora indusiata fruiting body extract,Safe,Natural/conditioning,Generally safe
dictyopteris membranacea extract,Safe,Natural/conditioning,Generally safe
dictyopteris polypodioides extract,Safe,Natural/conditioning,Generally safe
dicyclohexyl sodium sulfosuccinate,Safe,General,No known major side effects
dicyclopentadiene/t-butylcresol copolymer,Safe,General,No known major side effects
didecene,Safe,General,No known major side effects
didecyldimonium chloride,Safe,General,No known major side effects
didecyldimonium nylon-6 polyphosphate,Safe,General,No known major side effects
didecyl ether,Safe,General,No known major side effects
didecyltetradecyl ipdi,Safe,General,No known major side effects
didehydromenthane,Safe,General,No known major side effects
"didehydro-octahydro-7-isopropyl-1,4-dimethylazulene",Safe,General,No known major side effects
didehydropinane,Safe,General,No known major side effects
didodecyl butanetetracarboxylate,Safe,General,No known major side effects
dieckol,Safe,General,No known major side effects
dierucic acid,Moderate,Solvent/active,Possible irritation or dryness
diethanolamine bisulfate,Safe,General,No known major side effects
diethanolaminooleamide dea,Safe,General,No known major side effects
diethoxynonadiene,Safe,General,No known major side effects
diethyl acetyl aspartate,Safe,General,No known major side effects
diethyl adipate,Safe,General,No known major side effects
diethylamine,Safe,General,No known major side effects
diethylamine laureth sulfate,Safe,General,No known major side effects
diethylaminoethyl cellulose,Safe,General,No known major side effects
diethylaminoethyl cocoate,Safe,General,No known major side effects
diethylaminoethyl methacrylate,Safe,General,No known major side effects
diethylaminoethyl peg-5 cocoate,Moderate,Solvent/active,Possible irritation or dryness
diethylaminoethyl peg-5 laurate,Moderate,Solvent/active,Possible irritation or dryness
diethylaminoethyl stearate,Safe,General,No known major side effects
diethylaminomethylcoumarin,Safe,General,No known major side effects
diethyl ascorbic acid,Moderate,Solvent/active,Possible irritation or dryness
diethyl aspartate,Safe,General,No known major side effects
diethylbenzene,Safe,General,No known major side effects
diethyl caprylamide,Safe,General,No known major side effects
diethyldimethylcyclohexenone,Safe,General,No known major side effects
diethylene glycol,Moderate,Solvent/active,Possible irritation or dryness
diethylene glycol/dimer dilinoleic acid copolymer,Moderate,Solvent/active,Possible irritation or dryness
diethylene glycol/hydrogenated dimer dilinoleic acid copolymer,Moderate,Solvent/active,Possible irritation or dryness
diethylene glycol dibenzoate,Moderate,Solvent/active,Possible irritation or dryness
diethylene glycol diethylhexanoate/diisononanoate,Moderate,Solvent/active,Possible irritation or dryness
diethylene glycol diisononanoate,Moderate,Solvent/active,Possible irritation or dryness
diethylene glycol dimethacrylate,Moderate,Solvent/active,Possible irritation or dryness
diethylene glycol rosinate,Moderate,Solvent/active,Possible irritation or dryness
diethylenetriamine pentamethylene phosphonic acid,Moderate,Solvent/active,Possible irritation or dryness
diethylene tricaseinamide,Safe,General,No known major side effects
diethyl ethanolamine,Safe,General,No known major side effects
diethyl glutamate,Safe,General,No known major side effects
diethylheptadienal,Safe,General,No known major side effects
"diethylhexyl 2,6-naphthalate",Safe,General,No known major side effects
diethylhexylamine,Safe,General,No known major side effects
diethylhexylcyclohexane,Safe,General,No known major side effects
diethylhexyl dimer dilinoleate,Safe,General,No known major side effects
diethylhexyl fumarate,Safe,General,No known major side effects
diethylhexyl ipdi,Safe,General,No known major side effects
diethylhexyl isoeicosanedioate,Safe,General,No known major side effects
diethylhexyl malate,Safe,General,No known major side effects
diethylhexyl maleate,Safe,General,No known major side effects
diethylhexyl phthalate,Safe,General,No known major side effects
diethylhexyl succinate,Safe,General,No known major side effects
diethylhexyl terephthalate,Safe,General,No known major side effects
diethyl ketoglutarate,Safe,General,No known major side effects
diethylketone,Safe,General,No known major side effects
diethyllutidinate,Safe,General,No known major side effects
diethyl malate,Safe,General,No known major side effects
diethyl malonate,Safe,General,No known major side effects
diethyl oxalate,Safe,General,No known major side effects
diethyl palmitoyl aspartate,Safe,General,No known major side effects
diethylpentanediol dineopentanoate,Safe,General,No known major side effects
diethylquinoline,Safe,General,No known major side effects
diethyl sebacate,Safe,General,No known major side effects
diethyl succinate,Safe,General,No known major side effects
diethyl toluamide,Safe,General,No known major side effects
diethyl trioxopimelate,Safe,General,No known major side effects
difluorocyclohexyloxyphenol,Safe,General,No known major side effects
difluorophenyl propylcyclopentene oxime,Safe,General,No known major side effects
digalloyl tetrapeptide-19,Safe,General,No known major side effects
digalloyl trioleate,Safe,General,No known major side effects
digenea simplex extract,Safe,Natural/conditioning,Generally safe
digitaria ciliaris flower extract,Safe,Natural/conditioning,Generally safe
diglycereth-7 malate,Safe,General,No known major side effects
diglycerin,Safe,General,No known major side effects
diglyceryl sorbitan tetraethylhexanoate,Safe,General,No known major side effects
di-glyceryl stearate dimer dilinoleate,Safe,General,No known major side effects
diglyceryl stearate malate,Safe,General,No known major side effects
diglycol ethylhexyl ether,Moderate,Solvent/active,Possible irritation or dryness
diglycol guanidine succinate,Moderate,Solvent/active,Possible irritation or dryness
diglycosyl hexapeptide-2,Safe,General,No known major side effects
di-hea trimethylhexyl dicarbamate,Safe,General,No known major side effects
di-hema trimethylhexyl dicarbamate,Safe,General,No known major side effects
diheptyl sodium sulfosuccinate,Safe,General,No known major side effects
diheptylundecyl adipate,Safe,General,No known major side effects
dihexyl adipate,Safe,General,No known major side effects
dihexyldecyl adipate,Safe,General,No known major side effects
dihexyldecyl ipdi,Safe,General,No known major side effects
dihexyldecyl lauroyl glutamate,Safe,General,No known major side effects
dihexyldecyl sebacate,Safe,General,No known major side effects
dihexyl fumarate,Safe,General,No known major side effects
dihexyl isoeicosanedioate,Safe,General,No known major side effects
dihexyloxy cyclohexane,Safe,General,No known major side effects
dihexyl sodium sulfosuccinate,Safe,General,No known major side effects
dihydro-4-methyl-5-methylbutyl-furanone,Safe,General,No known major side effects
dihydro-4-methyl-5-pentylfuranone,Safe,General,No known major side effects
dihydroabietyl behenate,Safe,General,No known major side effects
dihydroabietyl methacrylate,Safe,General,No known major side effects
dihydro-alpha-ionone,Safe,General,No known major side effects
dihydro-alpha-methyl alpha-ionone,Safe,General,No known major side effects
dihydro-alpha-terpinol,Safe,General,No known major side effects
dihydroanethole,Safe,General,No known major side effects
dihydroartemisinic acid,Moderate,Solvent/active,Possible irritation or dryness
dihydrocarveol,Safe,General,No known major side effects
dihydrocarvone,Safe,General,No known major side effects
dihydrocholesterol,Safe,General,No known major side effects
dihydrocholesteryl butyrate,Safe,General,No known major side effects
dihydrocholesteryl isostearate,Safe,General,No known major side effects
dihydrocholesteryl macadamiate,Safe,General,No known major side effects
dihydrocholesteryl nonanoate,Safe,General,No known major side effects
dihydrocholesteryl octyldecanoate,Safe,General,No known major side effects
dihydrocholesteryl oleate,Safe,General,No known major side effects
dihydrocholeth-15,Safe,General,No known major side effects
dihydrocholeth-20,Safe,General,No known major side effects
dihydrocholeth-30,Safe,General,No known major side effects
dihydrocitronellol,Safe,General,No known major side effects
dihydrocitronellyl acetate,Safe,General,No known major side effects
dihydrocitronellylbutyrate,Safe,General,No known major side effects
dihydrocitronellylethyl ether,Safe,General,No known major side effects
dihydrocoumarin,Safe,General,No known major side effects
dihydroeugenol,Safe,General,No known major side effects
dihydrofarnesol,Safe,General,No known major side effects
dihydrogenated palmoylethyl hydroxyethylmonium methosulfate,Safe,General,No known major side effects
dihydrogenated palmoyl hydroxyethylmonium methosulfate,Safe,General,No known major side effects
dihydrogenated tallowamidoethyl hydroxyethylmonium methosulfate,Safe,General,No known major side effects
dihydrogenated tallow benzylmonium chloride,Safe,General,No known major side effects
dihydrogenated tallow benzylmonium hectorite,Safe,General,No known major side effects
dihydrogenated tallowethyl hydroxyethylmonium methosulfate,Safe,General,No known major side effects
dihydrogenated tallow methylamine,Safe,General,No known major side effects
dihydrogenated tallowoylethyl hydroxyethylmonium methosulfate,Safe,General,No known major side effects
dihydrogenated tallow phthalate,Safe,General,No known major side effects
dihydrogenated tallow phthalic acid amide,Moderate,Solvent/active,Possible irritation or dryness
dihydrogeranial diphenethyl acetal,Safe,General,No known major side effects
dihydrogeranylacetone,Safe,General,No known major side effects
dihydrogeranylidene-bis-indole,Safe,General,No known major side effects
dihydrogeranyl isovalerate,Safe,General,No known major side effects
dihydrogeranyl tiglate,Safe,General,No known major side effects
dihydroisojasmone,Safe,General,No known major side effects
dihydrojasmone,Safe,General,No known major side effects
dihydrolanosterol,Safe,General,No known major side effects
dihydromyrcene,Safe,General,No known major side effects
dihydromyrcenyl acetate,Safe,General,No known major side effects
dihydroocimenyl formate,Safe,General,No known major side effects
dihydro pentamethylindanone,Safe,General,No known major side effects
dihydrophytosteryl octyldecanoate,Safe,General,No known major side effects
dihydropseudoionone,Safe,General,No known major side effects
dihydroquercetin,Safe,General,No known major side effects
dihydroquercetin dithiolanepentyl ether,Safe,General,No known major side effects
dihydroquercetin glucoside,Safe,General,No known major side effects
dihydroquercetin pentacaprylate,Safe,General,No known major side effects
dihydroquercetin tetracaprylate,Safe,General,No known major side effects
dihydroterpinyl acetate,Safe,General,No known major side effects
dihydroxyacetic acid,Moderate,Solvent/active,Possible irritation or dryness
dihydroxybenzyl adamantanyldimethoxybenzamide,Safe,General,No known major side effects
dihydroxybenzyl butyrolactone,Safe,General,No known major side effects
dihydroxybenzylidene succinimide,Safe,General,No known major side effects
dihydroxybenzylidine thiazolidinedione,Safe,General,No known major side effects
dihydroxybiphenyl,Safe,General,No known major side effects
dihydroxydimethoxychalcone,Safe,General,No known major side effects
dihydroxyethylamino hydroxypropyl oleate,Safe,General,No known major side effects
dihydroxyethyl c12-15 alkoxypropylamine oxide,Safe,General,No known major side effects
dihydroxyethyl c8-10 alkoxypropylamine oxide,Safe,General,No known major side effects
dihydroxyethyl c9-11 alkoxypropylamine oxide,Safe,General,No known major side effects
dihydroxyethyl cocamine dioleate,Safe,General,No known major side effects
dihydroxyethyl cocamine oxide,Safe,General,No known major side effects
dihydroxyethyl lauramine oxide,Safe,General,No known major side effects
dihydroxyethyl oleyl glycinate,Safe,General,No known major side effects
dihydroxyethyl soyamine dioleate,Safe,General,No known major side effects
dihydroxyethyl soy glycinate,Safe,General,No known major side effects
dihydroxyethyl stearamine oxide,Safe,General,No known major side effects
dihydroxyethyl stearyl glycinate,Safe,General,No known major side effects
dihydroxyethyl tallowamine/ipdi copolymer,Safe,General,No known major side effects
dihydroxyethyl tallowamine dioleate,Safe,General,No known major side effects
dihydroxyethyl tallowamine hcl,Safe,General,No known major side effects
dihydroxyethyl tallowamine oleate,Safe,General,No known major side effects
dihydroxyethyl tallowamine oxide,Safe,General,No known major side effects
dihydroxyethyl tallow glycinate,Safe,General,No known major side effects
dihydroxyethyl toluidine,Safe,General,No known major side effects
dihydroxyindole,Safe,General,No known major side effects
dihydroxyindoline,Safe,General,No known major side effects
dihydroxyindoline hbr,Safe,General,No known major side effects
dihydroxyisopropyl palmoylpalmamide,Safe,General,No known major side effects
dihydroxylignoceroyl phytosphingosine,Safe,General,No known major side effects
dihydroxymethoxychalcone,Safe,General,No known major side effects
dihydroxy methylchromonyl palmitate,Safe,General,No known major side effects
dihydroxymethylsilylpropoxy hydroxypropyl hydrolyzed casein,Safe,General,No known major side effects
dihydroxyphenyl benzimidazole carboxylic acid,Moderate,Solvent/active,Possible irritation or dryness
dihydroxypropyl arginine,Safe,General,No known major side effects
dihydroxypropyl cystine,Safe,General,No known major side effects
dihydroxypropyl dehydrolatanoprostamide,Safe,General,No known major side effects
dihydroxypropyl didehydrolatanoprostamide,Safe,General,No known major side effects
dihydroxypropyl hydrolyzed casein,Safe,General,No known major side effects
dihydroxypropyl n-methyllauramide,Safe,General,No known major side effects
dihydroxypropyl peg-10 stearammonium chloride,Moderate,Solvent/active,Possible irritation or dryness
dihydroxypropyl peg-5 linoleammonium chloride,Moderate,Solvent/active,Possible irritation or dryness
dihydroxypropyltrimonium chloride,Safe,General,No known major side effects
diiodomethyltolylsulfone,Safe,General,No known major side effects
diisoamyl malate,Safe,General,No known major side effects
diisoamyl sebacate,Safe,General,No known major side effects
diisobutyl dicyanoperylenedicarboxylate,Safe,General,No known major side effects
diisobutyl glutarate,Safe,General,No known major side effects
diisobutyl maleate,Safe,General,No known major side effects
diisobutyl oxalate,Safe,General,No known major side effects
diisobutyl sodium sulfosuccinate,Safe,General,No known major side effects
diisobutyl succinate,Safe,General,No known major side effects
diisocetyl adipate,Safe,General,No known major side effects
diisodecyl adipate,Safe,General,No known major side effects
diisononyl adipate,Safe,General,No known major side effects
diisononyl ether,Safe,General,No known major side effects
diisononyl isoeicosanedioate,Safe,General,No known major side effects
diisononyl phthalate,Safe,General,No known major side effects
diisooctyl adipate,Safe,General,No known major side effects
diisooctyl sebacate,Safe,General,No known major side effects
diisooctyl succinate,Safe,General,No known major side effects
diisopropanolamine/methylhexahydrophthalic anhydride nonanoate copolymer,Safe,General,No known major side effects
diisopropylamine,Safe,General,No known major side effects
diisopropyl benzaldehyde,Safe,General,No known major side effects
diisopropyl caprylyl phosphine oxide,Safe,General,No known major side effects
diisopropyl ethyl cinnamate,Safe,General,No known major side effects
diisopropyl methyl cinnamate,Safe,General,No known major side effects
diisopropyl nonyl phosphine oxide,Safe,General,No known major side effects
diisopropyl oxalate,Safe,General,No known major side effects
diisostearamidopropyl epoxypropylmonium chloride,Safe,General,No known major side effects
diisostearyl adipate,Safe,General,No known major side effects
diisostearyl fumarate,Safe,General,No known major side effects
diisostearyl glutarate,Safe,General,No known major side effects
diisostearyl lauroyl glutamate,Safe,General,No known major side effects
diisostearyl sebacate,Safe,General,No known major side effects
diisotridecyl lauroyl glutamate,Safe,General,No known major side effects
dilaureth-10 phosphate,Safe,General,No known major side effects
dilaureth-4 dimonium chloride,Safe,General,No known major side effects
dilaureth-4 phosphate,Safe,General,No known major side effects
dilaureth-7 citrate,Safe,General,No known major side effects
dilauroyl 3-glyceryl ascorbate,Safe,General,No known major side effects
dilauroyl trimethylolpropane siloxy silicate,Safe,General,No known major side effects
dilauryl acetyl dimonium chloride,Safe,General,No known major side effects
dilauryldimonium chloride,Safe,General,No known major side effects
dilauryl ether,Safe,General,No known major side effects
dilauryl maleate/c20 olefin copolymer,Safe,General,No known major side effects
dilinoleamidopropyl dimethylamine,Safe,General,No known major side effects
dilinoleamidopropyl dimethylamine dimethicone peg-7 phosphate,Moderate,Solvent/active,Possible irritation or dryness
dilinoleic acid,Moderate,Solvent/active,Possible irritation or dryness
dilinoleic acid/ethylenediamine copolymer,Moderate,Solvent/active,Possible irritation or dryness
dilinoleic acid/glycol copolymer,Moderate,Solvent/active,Possible irritation or dryness
dilinoleyl alcohol/ipdi copolymer,Moderate,Solvent/active,Possible irritation or dryness
dilithium oxalate,Safe,General,No known major side effects
dilsea carnosa extract,Safe,Natural/conditioning,Generally safe
dimaltosyl cyclodextrin,Safe,General,No known major side effects
dimer dilinoleamidopropyl dibetaine,Safe,General,No known major side effects
dimer dilinoleate/ethylenediamine copolymer acetate,Safe,General,No known major side effects
dimer dilinoleyl bis-lauroylglutamate/lauroylsarcosinate,Safe,General,No known major side effects
dimer dilinoleyl bis-lauroyl sarcosinate/myristoyl methyl beta-alaninate,Safe,General,No known major side effects
dimer dilinoleyl bis-polyricinoleate,Safe,General,No known major side effects
dimer dilinoleyl diisostearate,Safe,General,No known major side effects
dimer dilinoleyl dimer dilinoleate/ipdi copolymer,Safe,General,No known major side effects
dimer dilinoleyl hydrogenated rosinate,Safe,General,No known major side effects
dimer dilinoleyl isostearate,Safe,General,No known major side effects
dimer d-phenylalanyl tripeptide-75,Safe,General,No known major side effects
dimethicone/aminopropyl silsesquioxane copolymer,Safe,General,No known major side effects
dimethicone/bis-isobutyl ppg-20 crosspolymer,Safe,General,No known major side effects
dimethicone/mercaptopropyl methicone copolymer,Safe,General,No known major side effects
dimethicone/peg-10/15 crosspolymer,Moderate,Solvent/active,Possible irritation or dryness
dimethicone/peg-10 crosspolymer,Moderate,Solvent/active,Possible irritation or dryness
dimethicone/peg-15 crosspolymer,Moderate,Solvent/active,Possible irritation or dryness
dimethicone/ppg-20 crosspolymer,Safe,General,No known major side effects
dimethicone/silsesquioxane copolymer,Safe,General,No known major side effects
dimethicone/titanate crosspolymer,Safe,General,No known major side effects
dimethicone ethoxy glucoside,Safe,General,No known major side effects
dimethicone hydroxypropyl trimonium chloride,Safe,General,No known major side effects
dimethicone peg-10 phosphate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-15 acetate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-3 laurate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-7 avocadoate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-7 lactate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-7 octyldodecyl citrate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-7 olivate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-7 phthalate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-7 succinate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-7 sulfate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-7 undecylenate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-8 adipate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-8 avocadoate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-8 beeswax,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-8 benzoate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-8 borageate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-8 isostearate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-8 lanolate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-8 olivate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-8 phosphate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-8 phthalate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone peg-8 succinate,Moderate,Solvent/active,Possible irritation or dryness
dimethicone pg-diethylmonium chloride,Safe,General,No known major side effects
dimethicone pg-sunflowerseedate,Safe,General,No known major side effects
dimethicone propylethylenediamine behenate,Safe,General,No known major side effects
dimethiconol/ipdi copolymer,Safe,General,No known major side effects
dimethiconol/silica crosspolymer,Safe,General,No known major side effects
dimethiconol arginine,Safe,General,No known major side effects
dimethiconol beeswax,Safe,General,No known major side effects
dimethiconol borageate,Safe,General,No known major side effects
dimethiconol candelillate,Safe,General,No known major side effects
dimethiconol carnaubate,Safe,General,No known major side effects
dimethiconol cysteine,Safe,General,No known major side effects
dimethiconol dhupa butterate,Safe,Natural/conditioning,Generally safe
dimethiconol fluoroalcohol dilinoleic acid,Moderate,Solvent/active,Possible irritation or dryness
dimethiconol hydroxystearate,Safe,General,No known major side effects
dimethiconol illipe butterate,Safe,Natural/conditioning,Generally safe
dimethiconol isostearate,Safe,General,No known major side effects
dimethiconol kokum butterate,Safe,Natural/conditioning,Generally safe
dimethiconol lactate,Safe,General,No known major side effects
dimethiconol methionine,Safe,General,No known major side effects
dimethiconol mohwa butterate,Safe,Natural/conditioning,Generally safe
dimethiconol sal butterate,Safe,Natural/conditioning,Generally safe
dimethiconylpropyl pg-methyldiethonium chloride,Safe,General,No known major side effects
dimethoxyapigenin,Safe,General,No known major side effects
dimethoxybenzamido phenylhydroxylacetamide,Safe,General,No known major side effects
dimethoxybenzyl alcohol,Moderate,Solvent/active,Possible irritation or dryness
di-methoxycinnamidopropyl ethyldimonium chloride ether,Safe,General,No known major side effects
dimethoxydiglycol,Moderate,Solvent/active,Possible irritation or dryness
dimethoxy di-p-cresol,Safe,General,No known major side effects
dimethoxyphenethyl resorcinol,Safe,General,No known major side effects
dimethoxyphenyl phenyloxoethyl ethylcarbonate,Safe,General,No known major side effects
dimethoxysilyl ethylenediaminopropyl dimethicone,Safe,General,No known major side effects
"dimethyl 2,6-naphthalate",Safe,General,No known major side effects
dimethyl-2-methyleneoct-6-enal,Safe,General,No known major side effects
dimethyl-3-butenyl isobutyrate,Safe,General,No known major side effects
dimethyl-3-cyclohexene-1-carbaldehyde,Safe,General,No known major side effects
dimethyl-3-methylpentadienyl-oxirane,Safe,General,No known major side effects
dimethyl-4-hexenyl-dihydrofuranone,Safe,General,No known major side effects
dimethyl-4-isoheptenal dimethyl acetal,Safe,General,No known major side effects
dimethyl-5-hexenyl acetate,Safe,General,No known major side effects
"dimethyl-7-octene-1,6-diol",Safe,General,No known major side effects
dimethyl 9-decenamide,Safe,General,No known major side effects
dimethylacrylamide/ethyltrimonium chloride methacrylate copolymer,Safe,General,No known major side effects
dimethylacrylamide/lauryl methacrylate copolymer,Safe,General,No known major side effects
dimethylacrylamide/sodium acryloyldimethyltaurate crosspolymer,Safe,General,No known major side effects
dimethylaminobenzamidopropyl/methyl polysilsesquioxane,Safe,General,No known major side effects
dimethylaminoethanol tartrate,Safe,General,No known major side effects
dimethylaminoethyl cetearate,Safe,General,No known major side effects
dimethylaminoethyl methacrylate,Safe,General,No known major side effects
dimethylaminoethyl rice branate,Safe,General,No known major side effects
dimethylamino methylpropanol,Safe,General,No known major side effects
dimethylaminopropylamino hypocrellin b,Safe,General,No known major side effects
dimethylaminostyryl heptyl methyl thiazolium iodide,Safe,General,No known major side effects
dimethyl aspartic acid,Moderate,Solvent/active,Possible irritation or dryness
dimethyl behenamine,Safe,General,No known major side effects
dimethyl benzenebutanol,Safe,General,No known major side effects
dimethylbenzyl carbinol,Safe,General,No known major side effects
dimethylbenzyl carbinyl acetate,Safe,General,No known major side effects
dimethylbenzyl carbinyl propionate,Safe,General,No known major side effects
dimethylbicyclo-5-hepten-2-ylethanone,Safe,General,No known major side effects
dimethylbicyclo-8-octanone oxime,Safe,General,No known major side effects
dimethylbicyclohept-2-ylethanone,Safe,General,No known major side effects
dimethylbicyclohept-2-yl-methyl-2-methylcyclohexanone,Safe,General,No known major side effects
dimethylbicycloheptyl ethanone,Safe,General,No known major side effects
dimethyl brassylate,Safe,General,No known major side effects
dimethylbutyl acetate,Safe,General,No known major side effects
dimethylbutyl crotonate,Safe,General,No known major side effects
dimethyl capramide,Safe,General,No known major side effects
dimethyl carbonate,Safe,General,No known major side effects
dimethyl cocamine,Safe,General,No known major side effects
dimethylcyclohexenyl 3-butenyl ketone,Safe,General,No known major side effects
dimethylcyclohexenyl methyl ketone,Safe,General,No known major side effects
dimethylcyclohexenyl tert-butyl ketone,Safe,General,No known major side effects
dimethylcyclohexyl 3-butenyl ketone,Safe,General,No known major side effects
dimethylcyclohexylethoxy isobutylpropanoate,Safe,General,No known major side effects
dimethylcyclohexyl ethylcarbamate,Safe,General,No known major side effects
dimethylcyclohexyl methyl ketone,Safe,General,No known major side effects
dimethyl cystinate,Safe,General,No known major side effects
dimethyl decadienal,Safe,General,No known major side effects
dimethyl diacetyl cystinate,Safe,General,No known major side effects
dimethyl dicaproyl cystinate,Safe,General,No known major side effects
dimethylenecyclohexane bis-hydroxystearamide,Safe,General,No known major side effects
dimethylglucamine,Safe,General,No known major side effects
dimethyl glutamic acid,Moderate,Solvent/active,Possible irritation or dryness
dimethyl glutarate,Safe,General,No known major side effects
dimethylheptenal,Safe,General,No known major side effects
dimethyl heptenal,Safe,General,No known major side effects
dimethylheptenol,Safe,General,No known major side effects
dimethyl hexahydronaphthyl dihydroxymethyl acetal,Safe,General,No known major side effects
dimethylhexyl acetate,Safe,General,No known major side effects
dimethyl hydrogenated tallowamine,Safe,General,No known major side effects
dimethylhydrogensiloxy phenyl polysilsesquioxane,Safe,General,No known major side effects
dimethylhydroquinone,Safe,General,No known major side effects
dimethylhydroxy dihydroflavone,Safe,General,No known major side effects
dimethylhydroxy furanone,Safe,General,No known major side effects
dimethyl hydroxymethyl pyrazole,Safe,General,No known major side effects
dimethyl imidazolidinone,Safe,General,No known major side effects
dimethylimidazolidinone corn starch,Safe,General,No known major side effects
dimethylisobutyl methylcyclohexanone,Safe,General,No known major side effects
dimethyl isopropanolamine,Safe,General,No known major side effects
dimethyl lauramide/myristamide,Safe,General,No known major side effects
dimethyl lauramine dimer dilinoleate,Safe,General,No known major side effects
dimethyl lauroyl lysine,Safe,General,No known major side effects
dimethyl maleate,Safe,General,No known major side effects
dimethylmethoxy chromanyl palmitate,Safe,General,No known major side effects
dimethyl methylglutarate,Safe,General,No known major side effects
dimethyl myristamine,Safe,General,No known major side effects
dimethyloctahydro-2-naphthaldehyde,Safe,General,No known major side effects
dimethyl octynediol,Safe,General,No known major side effects
dimethylolcyclohexane,Safe,General,No known major side effects
dimethylolcyclohexane dibenzoate,Safe,General,No known major side effects
dimethylol ethylene thiourea,Safe,General,No known major side effects
dimethylol glycol,Moderate,Solvent/active,Possible irritation or dryness
dimethylol urea,Safe,General,No known major side effects
dimethyl oxalate,Safe,General,No known major side effects
dimethyl oxazolidine,Safe,General,No known major side effects
dimethyl paba ethyl cetearyldimonium tosylate,Safe,General,No known major side effects
dimethyl phenethyl butyrate,Safe,General,No known major side effects
dimethyl phenylbutanol,Safe,General,No known major side effects
dimethylphenyl carbinol,Safe,General,No known major side effects
